Industry,Complaint Type,Complaint Result,Satisfaction,Business Zip,Inspection Result,class_label
Supermarket - 819,Non-Delivery of Goods - N01,Cash Amount - AMT,Yes,11204,No Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Cash Amount - AMT,Yes,11204,Out of Business,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10037,No Violation Issued,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10037,Out of Business,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10037,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,ECB Warning Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,ECB Warning Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Out of Business,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Goods Exchanged - GEX,Yes,10033,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,ECB Warning Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,ECB Warning Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Out of Business,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Pass,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10120,No Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Pass,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Pass,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,NOH Withdrawn,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,NOH Withdrawn,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,No Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Violation Issued,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Pass,0
Supermarket - 819,Non-Delivery of Goods - N01,Goods Received - GDR,Yes,10314,Pass,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Pass,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Violation Issued,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Pass,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,NOH Withdrawn,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Violation Issued,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,NOH Withdrawn,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,No Violation Issued,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Violation Issued,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Pass,0
Grocery-Retail - 808,Other - Z01,Complaint Invalid - CIN,NA,10314,Pass,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Pass,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Violation Issued,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Pass,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,NOH Withdrawn,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Violation Issued,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,NOH Withdrawn,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,No Violation Issued,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Violation Issued,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Pass,0
Grocery-Retail - 808,Advertising/Misleading - A02,No Consumer Response - NCR,NA,11435,Pass,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Pass,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Violation Issued,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Pass,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,NOH Withdrawn,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Violation Issued,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,NOH Withdrawn,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,No Violation Issued,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Violation Issued,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Pass,0
Supermarket - 819,Advertising/General - A01,Consumer Withdrew Complaint - CWC,NA,10314,Pass,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,No Violation Issued,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,Out of Business,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,Out of Business,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,Unable to Locate,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,Violation Issued,0
Supermarket - 819,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10604,Pass,0
Furniture Sales - 242,Non-Delivery of Goods - N01,No Satisfactory Agreement - NSA,No,11354,No Violation Issued,0
Supermarket - 819,Misrepresentation - M01,Resolved and Consumer Satisfied - SPF,Yes,10037,Violation Issued,0
Grocery-Retail - 808,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10002,Violation Issued,0
Supermarket - 819,Damaged Goods - D01,Cash Amount - AMT,Yes,11557,Violation Issued,0
Supermarket - 819,Damaged Goods - D01,Cash Amount - AMT,Yes,11557,Unable to Locate,0
Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,11557,Violation Issued,0
Misc Non-Food Retail - 817,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,11557,Unable to Locate,0
Supermarket - 819,Advertising/Misleading - A02,Resolved and Consumer Satisfied - SPF,Yes,11225,Violation Issued,0
Supermarket - 819,Advertising/Misleading - A02,Resolved and Consumer Satisfied - SPF,Yes,11225,Unable to Locate,0
Supermarket - 819,Advertising/General - A01,Store Credit - SCR,Yes,10033,Violation Issued,0
Supermarket - 819,Advertising/General - A01,Store Credit - SCR,Yes,10033,Unable to Locate,0
Supermarket - 819,Advertising/General - A01,Complaint Invalid - CIN,NA,10030,Violation Issued,0
Supermarket - 819,Advertising/General - A01,Complaint Invalid - CIN,NA,10030,Unable to Locate,0
Garage - 049,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10281,Out of Business,0
Garage - 049,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10281,No Violation Issued,0
Garage - 049,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10281,No Violation Issued,0
Garage - 049,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10281,Violation Issued,0
Garage - 049,Surcharge/Overcharge - S02,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10281,Out of Business,0
