Industry,Complaint Type,Complaint Result,Satisfaction,Business Zip,Inspection Result,class_label
Garage - 049,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,Yes,11237,No Violation Issued,1
Electronic Store - 001,Surcharge/Overcharge - S02,Consumer Took Action - CTA,No,10003,Out of Business,1
Hardware-Retail - 811,Exchange Goods/Contract Cancelled - E01,Store Credit - SCR,Yes,11435,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10019,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Resolved and Consumer Satisfied - SPF,Yes,10016,No Violation Issued,1
Secondhand Dealer Auto - 005,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10305,No Violation Issued,1
Tow Truck Company - 124,Misrepresentation - M01,Consumer Took Action - CTA,No,11360,No Violation Issued,1
Secondhand Dealer Auto - 005,Misrepresentation - M01,Cash Amount - AMT,Yes,10305,No Violation Issued,1
Laundry Jobber - 066,,Cash Amount - AMT,Yes,10027,No Violation Issued,1
Secondhand Dealer Auto - 005,Outstanding Judgment - J01,Agency Collected Judgement - ACJ,Yes,11236,No Evidence of Activity,1
Garage - 049,Surcharge/Overcharge - S02,Advised to Sue - ATS,No,10171,No Violation Issued,1
Garage - 049,Damaged Goods - D01,Advised to Sue - ATS,No,10031,Unable to Locate,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Resolved and Consumer Satisfied - SPF,Yes,10302,Violation Issued,1
Electronic Store - 001,Advertising/Misleading - A02,Unable to Locate Business - ULV,NA,10001,No Violation Issued,1
Garage - 049,Damaged Goods - D01,Cash Amount - AMT,Yes,10452,No Violation Issued,1
Dry Cleaners - 230,Damaged Goods - D01,Cash Amount - AMT,Yes,11354,No Violation Issued,1
Electronic Store - 001,Defective Goods - D02,Resolved and Consumer Satisfied - SPF,Yes,10455,No Violation Issued,1
Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,Cash Amount - AMT,Yes,10472,Violation Issued,1
Misc Non-Food Retail - 817,Damaged Goods - D01,Goods Exchanged - GEX,Yes,11419,No Violation Issued,1
Garage - 049,Surcharge/Overcharge - S02,Cash Amount - AMT,Yes,10016,Violation Issued,1
Electronic Store - 001,Misrepresentation - M01,Credit Card Refund and/or Contract Cancelled - CRC,Yes,10019,No Violation Issued,1
Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,Cash Amount - AMT,Yes,10016,Out of Business,1
Garage - 049,,Advised to Sue - ATS,No,10019,No Violation Issued,1
Garage - 049,Non-Delivery Goods/Services,Cash Amount - AMT,Yes,10033,Violation Issued,1
Secondhand Dealer Auto - 005,Non-Delivery of Goods - N01,Advised to Sue - ATS,No,11207,Violation Issued,1
Garage - 049,Damaged Goods - D01,No Consumer Response - NCR,NA,10128,Violation Issued,1
Secondhand Dealer Auto - 005,Damaged Goods - D01,Complaint Invalid - CIN,NA,10035,No Violation Issued,1
